4 , 6, 4 , 7, 1 , 9, 2 , 11, 4 , 11, 9 , 11, 4 , 13, 7 , 13, 
                      12 , 13, 4 , 14, 2 , 15, 1 , 17, 15 , 18, 2 , 19, 5 , 19, 8 , 
                      19, 14 , 19, 9 , 20, 14 , 21, 14 , 24, 3 , 27, 14 , 27, 10 , 
                      28, 26 , 28, 18 , 29, 20 , 29, 24 , 29, 14 , 30, 20 , 30, 6 , 
                      31, 5 , 33, 14 , 33, 21 , 34, 32 , 34, 18 , 35, 20 , 35, 24 , 
                      35, 29 , 35, 16 , 36, 26 , 36, 22 , 37, 26 , 37, 15 , 38, 17 , 
                      38, 10 , 39, 19 , 39, 26 , 39, 8 , 40, 12 , 40, 15 , 40, 21 , 
                      40, 22 , 40, 27 , 40, 37 , 40, 7 , 41, 26 , 41, 31 , 41, 12 , 
                      42, 13 , 42, 8 , 44, 11 , 44, 14 , 44, 26 , 44, 32 , 44, 36 , 
                      44, 1 , 46, 7 , 46, 18 , 46, 23 , 46, 26 , 46, 32 , 46, 43 , 
                      46, 10 , 47, 35 , 47, 10 , 48, 16 , 48, 18 , 48, 43 , 48, 7 , 
                      49, 17 , 49, 29 , 49, 32 , 49, 41 , 49, 43 , 49, 7 , 50, 8 , 
                      50, 11 , 50, 14 , 50, 31 , 50, 11 , 51, 18 , 51, 36 , 51, 41 , 
                      51, 3 , 52, 18 , 52, 29 , 52, 50 , 52, 12 , 53, 29 , 53, 34 , 
                      53, 51 , 53, 13 , 54, 17 , 54, 26 , 54, 14 , 55, 20 , 55, 21 , 
                      55, 27 , 55, 33 , 55, 40 , 55, 6 , 56, 17 , 56, 28 , 56, 31 , 
                      56, 41 , 56, 50 , 56, 1 , 57, 8 , 57, 18 , 57, 25 , 57, 26 , 
                      57, 43 , 57, 51 , 57, 2 , 58, 4 , 58, 11 , 58, 17 , 58, 22 , 
                      58, 32 , 58, 42 , 58, 49 , 58, 5 , 59, 12 , 59, 47 , 59, 52 , 
                      59, 54 , 59, 11 , 60, 15 , 60, 21 , 60, 36 , 60, 45 , 60, 47 , 
                      60, 55 , 60, 36 , 61, 9 , 62, 20 , 62, 45 , 62, 46 , 62, 56 , 
                      62, 13 , 63, 39 , 63, 44 , 63, 4 , 64, 42 , 64, 59 , 64, 2 , 
                      65, 11 , 65, 20 , 65, 28 , 65, 17 , 66, 18 , 66, 53 , 66, 59 , 
                      66, 62 , 66, 64 , 66, 1 , 67, 4 , 67, 16 , 67, 35 , 67, 45 , 
                      67, 62 , 67, 17 , 68, 21 , 68, 29 , 68, 36 , 68, 37 , 68, 60 , 
                      68, 63 , 68, 5 , 69, 6 , 69, 10 , 69, 11 , 69, 12 , 69, 34 , 
                      69, 46 , 69, 47 , 69, 54 , 69, 3 , 70, 15 , 70, 22 , 70, 31 , 
                      70, 48 , 70, 52 , 70, 66 , 70, 1 , 71, 3 , 71, 12 , 71, 13 , 
                      71, 15 , 71, 37 , 71, 44 , 71, 45 , 71, 53 , 71, 58 , 71, 65 , 
                      71, 15 , 72, 22 , 72, 43 , 72, 50 , 72, 59 , 72, 9 , 73, 14 , 
                      73, 25 , 73, 30 , 73, 45 , 73, 51 , 73, 53 , 73, 24 , 74, 40 , 
                      74, 68 , 74, 1 , 75, 39 , 75, 44 , 75, 54 , 75, 64 , 75, 28 , 
