1 , 7, 1 , 12, 1 , 29, 1 , 31, 2 , 14, 2 , 18, 2 , 44, 2 , 
47, 3 , 10, 3 , 26, 3 , 43, 3 , 49, 4 , 8, 4 , 11, 4 , 15, 4 
, 24, 5 , 16, 5 , 17, 5 , 25, 5 , 38, 6 , 10, 6 , 12, 6 , 20, 
6 , 27, 7 , 27, 7 , 29, 7 , 30, 8 , 37, 8 , 38, 8 , 46, 9 , 
15, 9 , 22, 9 , 27, 9 , 44, 10 , 32, 10 , 35, 11 , 38, 11 , 
43, 11 , 50, 12 , 40, 12 , 47, 13 , 18, 13 , 24, 13 , 36, 13 , 
48, 14 , 18, 14 , 19, 14 , 26, 15 , 42, 15 , 49, 16 , 17, 16 , 
33, 16 , 49, 17 , 21, 17 , 40, 18 , 48, 19 , 22, 19 , 26, 19 , 
46, 20 , 28, 20 , 47, 20 , 48, 21 , 33, 21 , 41, 21 , 42, 22 , 
30, 22 , 46, 23 , 32, 23 , 34, 23 , 35, 23 , 46, 24 , 27, 24 , 
33, 25 , 37, 25 , 41, 25 , 47, 26 , 34, 28 , 31, 28 , 41, 28 , 
44, 29 , 36, 29 , 45, 30 , 37, 30 , 44, 31 , 34, 31 , 42, 32 , 
38, 32 , 42, 33 , 50, 34 , 50, 35 , 40, 35 , 43, 36 , 39, 36 , 
50, 37 , 41, 39 , 45, 39 , 48, 39 , 49, 40 , 45, 43 , 45
