1 , 4, 1 , 22, 1 , 24, 1 , 44, 1 , 60, 1 , 63, 2 , 11, 2 , 
49, 3 , 22, 3 , 27, 3 , 37, 3 , 49, 3 , 67, 4 , 5, 4 , 43, 4 
, 55, 4 , 57, 4 , 59, 4 , 61, 4 , 69, 4 , 70, 5 , 7, 5 , 12, 
5 , 15, 5 , 23, 5 , 27, 5 , 31, 5 , 36, 5 , 37, 5 , 50, 5 , 
66, 6 , 18, 6 , 22, 6 , 25, 6 , 41, 6 , 44, 6 , 60, 7 , 28, 7 
, 29, 7 , 32, 7 , 41, 7 , 42, 7 , 50, 7 , 51, 7 , 55, 7 , 56, 
7 , 59, 7 , 60, 8 , 18, 8 , 22, 8 , 23, 8 , 32, 8 , 42, 8 , 
59, 8 , 67, 9 , 19, 9 , 28, 9 , 29, 9 , 35, 9 , 44, 9 , 51, 9 
, 55, 10 , 12, 10 , 15, 10 , 17, 10 , 20, 10 , 31, 10 , 42, 10 
, 49, 10 , 56, 10 , 61, 10 , 70, 11 , 14, 11 , 33, 11 , 39, 11 
, 43, 11 , 51, 11 , 57, 11 , 62, 12 , 24, 12 , 30, 13 , 28, 13 
, 44, 13 , 48, 14 , 17, 14 , 22, 14 , 30, 14 , 49, 14 , 63, 15 
, 28, 15 , 30, 15 , 39, 15 , 41, 15 , 57, 15 , 70, 16 , 17, 16 
, 30, 16 , 40, 17 , 24, 17 , 26, 17 , 27, 17 , 68, 18 , 44, 18 
, 50, 18 , 56, 18 , 63, 18 , 66, 18 , 68, 19 , 29, 19 , 30, 19 
, 47, 19 , 51, 19 , 67, 20 , 21, 20 , 31, 20 , 35, 20 , 42, 20 
, 50, 20 , 66, 21 , 29, 21 , 34, 21 , 49, 21 , 56, 21 , 61, 21 
, 66, 22 , 25, 22 , 39, 22 , 53, 22 , 58, 22 , 60, 22 , 64, 22 
, 66, 23 , 25, 23 , 40, 23 , 43, 23 , 54, 23 , 55, 24 , 25, 24 
, 34, 24 , 54, 24 , 58, 25 , 27, 25 , 44, 25 , 50, 25 , 59, 25 
, 66, 26 , 31, 26 , 33, 26 , 60, 27 , 33, 27 , 44, 27 , 47, 27 
, 49, 28 , 42, 28 , 45, 28 , 63, 28 , 66, 29 , 34, 29 , 40, 29 
, 43, 29 , 67, 30 , 46, 30 , 57, 30 , 61, 31 , 33, 32 , 36, 32 
, 37, 33 , 36, 33 , 38, 34 , 49, 34 , 54, 34 , 60, 34 , 65, 35 
, 66, 36 , 66, 37 , 48, 37 , 70, 38 , 41, 38 , 43, 38 , 48, 38 
, 49, 39 , 46, 39 , 58, 39 , 65, 39 , 70, 41 , 45, 41 , 49, 41 
, 50, 41 , 54, 41 , 55, 41 , 56, 41 , 58, 41 , 59, 41 , 62, 42 
, 43, 42 , 45, 42 , 52, 42 , 53, 42 , 55, 42 , 67, 43 , 44, 43 
, 46, 43 , 59, 43 , 66, 44 , 45, 44 , 47, 44 , 54, 44 , 56, 45 
, 47, 45 , 56, 45 , 64, 45 , 66, 47 , 48, 47 , 54, 47 , 59, 47 
, 63, 47 , 70, 48 , 55, 48 , 56, 48 , 57, 49 , 57, 49 , 59, 49 
, 61, 49 , 70, 50 , 70, 51 , 52, 51 , 57, 51 , 60, 52 , 53, 52 
, 64, 52 , 66, 53 , 58, 53 , 62, 53 , 66, 54 , 59, 54 , 61, 54 
, 64, 54 , 69, 55 , 65, 56 , 59, 56 , 63, 57 , 63, 58 , 61, 59 
, 68, 60 , 61, 60 , 63, 61 , 67, 62 , 64, 64 , 70, 66 , 70
